ticker,type,issue_date,payment_date,capital,interest_rate,interest_amount,residual_value,cash_flow
CO26,SUB_SOBERANO,2016-10-27,2025-07-28,3.125,0.07125,0.334,15.625,3.459
CO26,SUB_SOBERANO,2016-10-27,2025-10-27,3.125,0.07125,0.27832,12.5,3.40332
CO26,SUB_SOBERANO,2016-10-27,2026-01-27,3.125,0.07125,0.22266,9.375,3.34766
CO26,SUB_SOBERANO,2016-10-27,2026-04-27,3.125,0.07125,0.167,6.25,3.292
CO26,SUB_SOBERANO,2016-10-27,2026-07-27,3.125,0.07125,0.11133,3.125,3.23633
CO26,SUB_SOBERANO,2016-10-27,2026-10-27,3.125,0.07125,0.05566,,3.181
CO27D,SUB_SOBERANO,2017-07-07,2018-02-01,,0.07125,4.0375,100,4.0375
CO27D,SUB_SOBERANO,2017-07-07,2018-08-01,,0.07125,3.5625,100,3.5625
CO27D,SUB_SOBERANO,2017-07-07,2019-02-01,,0.07125,3.5625,100,3.5625
CO27D,SUB_SOBERANO,2017-07-07,2019-08-01,,0.07125,3.5625,100,3.5625
CO27D,SUB_SOBERANO,2017-07-07,2020-02-03,,0.07125,3.5625,100,3.5625
CO27D,SUB_SOBERANO,2017-07-07,2020-08-03,,0.07125,3.5625,100,3.5625
CO27D,SUB_SOBERANO,2017-07-07,2021-02-01,,0.03,1.5,100,1.5
CO27D,SUB_SOBERANO,2017-07-07,2021-08-02,,0.03,1.5,100,1.5
CO27D,SUB_SOBERANO,2017-07-07,2022-02-01,,0.05,2.5,100,2.5
CO27D,SUB_SOBERANO,2017-07-07,2022-08-01,,0.05,2.5,100,2.5
CO27D,SUB_SOBERANO,2017-07-07,2023-02-01,,0.06875,3.4375,100,3.4375
CO27D,SUB_SOBERANO,2017-07-07,2023-08-01,,0.06875,3.4375,100,3.4375
CO27D,SUB_SOBERANO,2017-07-07,2024-02-01,,0.06875,3.4375,100,3.4375
CO27D,SUB_SOBERANO,2017-07-07,2024-08-01,,0.06875,3.4375,100,3.4375
CO27D,SUB_SOBERANO,2017-07-07,2025-02-03,,0.06875,3.4375,100,3.4375
CO27D,SUB_SOBERANO,2017-07-07,2025-08-01,,0.06875,3.4375,100,3.4375
CO27D,SUB_SOBERANO,2017-07-07,2026-02-02,,0.06875,3.4375,100,3.4375
CO27D,SUB_SOBERANO,2017-07-07,2026-08-03,,0.06875,3.4375,100,3.4375
CO27D,SUB_SOBERANO,2017-07-07,2027-02-01,,0.06875,3.4375,100,3.4375
CO27D,SUB_SOBERANO,2017-07-07,2027-08-02,25,0.06875,3.4375,75,28.4375
CO27D,SUB_SOBERANO,2017-07-07,2028-02-01,25,0.06875,2.578125,50,27.578125
CO27D,SUB_SOBERANO,2017-07-07,2028-08-01,25,0.06875,1.71875,25,26.71875
CO27D,SUB_SOBERANO,2017-07-07,2029-02-01,25,0.06875,0.859375,,25.859375
CO32,SUB_SOBERANO,2025-07-02,2026-01-02,,0.0975,4.875,100,4.875
CO32,SUB_SOBERANO,2025-07-02,2026-07-02,,0.0975,4.875,100,4.875
CO32,SUB_SOBERANO,2025-07-02,2027-01-04,,0.0975,4.875,100,4.875
CO32,SUB_SOBERANO,2025-07-02,2027-07-02,,0.0975,4.875,100,4.875
CO32,SUB_SOBERANO,2025-07-02,2028-01-03,,0.0975,4.875,100,4.875
CO32,SUB_SOBERANO,2025-07-02,2028-07-03,,0.0975,4.875,100,4.875
CO32,SUB_SOBERANO,2025-07-02,2029-01-02,,0.0975,4.875,100,4.875
CO32,SUB_SOBERANO,2025-07-02,2029-07-02,,0.0975,4.875,100,4.875
CO32,SUB_SOBERANO,2025-07-02,2030-01-02,,0.0975,4.875,100,4.875
CO32,SUB_SOBERANO,2025-07-02,2030-07-02,33,0.0975,4.875,67,37.875
CO32,SUB_SOBERANO,2025-07-02,2031-01-02,,0.0975,3.26625,67,3.26625
CO32,SUB_SOBERANO,2025-07-02,2031-07-02,33,0.0975,3.26625,34,36.26625
CO32,SUB_SOBERANO,2025-07-02,2032-01-02,,0.0975,1.6575,34,1.6575
CO32,SUB_SOBERANO,2025-07-02,2032-07-02,34,0.0975,1.6575,,35.6575
ERF25,SUB_SOBERANO,2017-02-08,2017-08-08,,0.0875,4.375,100,4.375
ERF25,SUB_SOBERANO,2017-02-08,2018-02-08,,0.0875,4.375,100,4.375
ERF25,SUB_SOBERANO,2017-02-08,2018-08-08,,0.0875,4.375,100,4.375
ERF25,SUB_SOBERANO,2017-02-08,2019-02-08,,0.0875,4.375,100,4.375
ERF25,SUB_SOBERANO,2017-02-08,2019-08-08,,0.0875,4.375,100,4.375
ERF25,SUB_SOBERANO,2017-02-08,2020-02-10,,0.0875,4.375,100,4.375
ERF25,SUB_SOBERANO,2017-02-08,2020-08-10,,,,100,
ERF25,SUB_SOBERANO,2017-02-08,2021-02-08,,,,100,
ERF25,SUB_SOBERANO,2017-02-08,2021-08-09,,0.05,2.5,100,2.5
ERF25,SUB_SOBERANO,2017-02-08,2022-02-08,,0.05,2.5,100,2.5
ERF25,SUB_SOBERANO,2017-02-08,2022-08-08,,0.05,2.5,100,2.5
ERF25,SUB_SOBERANO,2017-02-08,2023-02-08,0.05,0.0575,2.875,95,7.875
ERF25,SUB_SOBERANO,2017-02-08,2023-08-08,0.05,0.081,3.8475,90,8.8475
ERF25,SUB_SOBERANO,2017-02-08,2024-02-08,0.09,0.0825,3.7125,81,12.7125
ERF25,SUB_SOBERANO,2017-02-08,2024-08-08,0.09,0.0825,3.34125,72,12.34125
ERF25,SUB_SOBERANO,2017-02-08,2025-02-10,0.09,0.0825,2.97,63,11.97
ERF25,SUB_SOBERANO,2017-02-08,2025-08-08,0.09,0.0825,2.59875,54,11.59875
ERF25,SUB_SOBERANO,2017-02-08,2026-02-09,0.09,0.0825,2.2275,45,11.2275
ERF25,SUB_SOBERANO,2017-02-08,2026-08-10,0.09,0.0825,1.85625,36,10.85625
ERF25,SUB_SOBERANO,2017-02-08,2027-02-08,0.09,0.0825,1.485,27,10.485
ERF25,SUB_SOBERANO,2017-02-08,2027-08-09,0.09,0.0825,1.11375,18,10.11375
ERF25,SUB_SOBERANO,2017-02-08,2028-02-08,0.09,0.0825,0.7425,9,9.7425
ERF25,SUB_SOBERANO,2017-02-08,2028-08-08,0.09,0.0825,0.37125,,9.37125
JUS22,SUB_SOBERANO,2018-06-20,2018-09-20,,0.08625,4.3125,100,4.3125
JUS22,SUB_SOBERANO,2018-06-20,2019-03-20,,0.08625,4.3125,100,4.3125
JUS22,SUB_SOBERANO,2018-06-20,2019-09-20,,0.08625,4.3125,100,4.3125
JUS22,SUB_SOBERANO,2018-06-20,2020-03-20,,0.08625,4.3125,100,4.3125
JUS22,SUB_SOBERANO,2018-06-20,2020-09-21,,0.08625,4.3125,100,4.3125
JUS22,SUB_SOBERANO,2018-06-20,2021-03-22,,,,100,
JUS22,SUB_SOBERANO,2018-06-20,2021-09-20,,0.0525,2.625,100,2.625
JUS22,SUB_SOBERANO,2018-06-20,2022-03-21,,0.0575,2.875,100,2.875
JUS22,SUB_SOBERANO,2018-06-20,2022-09-20,,0.08375,4.1875,100,4.1875
JUS22,SUB_SOBERANO,2018-06-20,2023-03-20,11.111111,0.08375,4.1875,88.888889,15.298611
JUS22,SUB_SOBERANO,2018-06-20,2023-09-20,11.111111,0.08375,3.722222226875,77.777778,14.833333
JUS22,SUB_SOBERANO,2018-06-20,2024-03-20,11.111111,0.08375,3.25694445375,66.666667,14.368055
